strategy_id,path,before,after
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.rolling_reward_dates,6,7
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.rolling_samples,42,48
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.samples,42,48
stock_tech_s06_nr7_inside_bar_breakout_v1,promotion_gate.evidence.avg_return_pct,-0.014108,-0.013153
stock_tech_s06_nr7_inside_bar_breakout_v1,promotion_gate.evidence.date_return_lcb90,-0.030287,-0.026642
stock_tech_s06_nr7_inside_bar_breakout_v1,promotion_gate.evidence.hit_rate,0.428571,0.416667
stock_tech_s06_nr7_inside_bar_breakout_v1,promotion_gate.evidence.mature_dates,6,7
stock_tech_s06_nr7_inside_bar_breakout_v1,promotion_gate.evidence.samples,42,48
stock_tech_s07_2b_false_break_reversal_v1,evidence_profile.metric_evidence,"[{""metric"":""residual_return_lcb90"",""value"":-0.098346,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""time_to_reversion"",""value"":3,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""earliest_discrete_evidence_horizon_with_positive_residual_return"",""resolved_samples"":1,""censored_samples"":1,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""maximum_adverse_excursion"",""value"":-0.018983,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_mean_adjusted_intrahorizon_maximum_adverse_excursion"",""price_source"":""market.stock_prices"",""path_window"":""canonical_selection_outcomes_v1.entry_date_through_exit_date"",""missing_reason"":null,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.000736,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":1,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":1,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""sideways"",""volatile""],""observed_partitions"":[{""regime"":""sideways"",""samples"":1,""dates"":1,""lcb90"":null}],""eligible_partitions"":[],""observed_regime_count"":1,""eligible_regime_count"":0,""missing_reason"":""fewer_than_two_supported_regimes_with_two_mature_dates"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]","[{""metric"":""residual_return_lcb90"",""value"":-0.098346,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""time_to_reversion"",""value"":3,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""earliest_discrete_evidence_horizon_with_positive_residual_return"",""resolved_samples"":1,""censored_samples"":1,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""maximum_adverse_excursion"",""value"":-0.018983,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_mean_adjusted_intrahorizon_maximum_adverse_excursion"",""price_source"":""market.stock_prices"",""path_window"":""canonical_selection_outcomes_v1.entry_date_through_exit_date"",""missing_reason"":null,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.000736,""status"":""insufficient_samples"",""sample_count"":2,""mature_dates"":2,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":1,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":1,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""sideways"",""volatile""],""observed_partitions"":[{""regime"":""sideways"",""samples"":1,""dates"":1,""lcb90"":null}],""eligible_partitions"":[],""observed_regime_count"":1,""eligible_regime_count"":0,""missing_reason"":""fewer_than_two_supported_regimes_with_two_mature_dates"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]"
stock_tech_s08_rsi2_bull_mean_reversion_v1,evidence_profile.metric_evidence,"[{""metric"":""residual_return_lcb90"",""value"":-0.002738,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""time_to_reversion"",""value"":3.321168,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""earliest_discrete_evidence_horizon_with_positive_residual_return"",""resolved_samples"":137,""censored_samples"":72,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""maximum_adverse_excursion"",""value"":-0.06765,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_mean_adjusted_intrahorizon_maximum_adverse_excursion"",""price_source"":""market.stock_prices"",""path_window"":""canonical_selection_outcomes_v1.entry_date_through_exit_date"",""missing_reason"":null,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.035867,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":11,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":116,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""sideways""],""observed_partitions"":[{""regime"":""sideways"",""samples"":116,""dates"":9,""lcb90"":0.010786}],""eligible_partitions"":[{""regime"":""sideways"",""samples"":116,""dates"":9,""lcb90"":0.010786}],""observed_regime_count"":1,""eligible_regime_count"":1,""missing_reason"":""fewer_than_two_supported_regimes_with_two_mature_dates"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]","[{""metric"":""residual_return_lcb90"",""value"":-0.002738,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""time_to_reversion"",""value"":3.321168,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""earliest_discrete_evidence_horizon_with_positive_residual_return"",""resolved_samples"":137,""censored_samples"":72,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""maximum_adverse_excursion"",""value"":-0.06765,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_mean_adjusted_intrahorizon_maximum_adverse_excursion"",""price_source"":""market.stock_prices"",""path_window"":""canonical_selection_outcomes_v1.entry_date_through_exit_date"",""missing_reason"":null,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.035867,""status"":""ready"",""sample_count"":209,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":11,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":116,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""sideways""],""observed_partitions"":[{""regime"":""sideways"",""samples"":116,""dates"":9,""lcb90"":0.010786}],""eligible_partitions"":[{""regime"":""sideways"",""samples"":116,""dates"":9,""lcb90"":0.010786}],""observed_regime_count"":1,""eligible_regime_count"":1,""missing_reason"":""fewer_than_two_supported_regimes_with_two_mature_dates"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]"
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.avg_return_pct,0.033478,0.028578
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.hit_rate,0.602273,0.564593
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.latest_reward_date,2026-08-14,2026-08-25
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.reward_status_reason,reward evidence available through 2026-08-14,reward evidence available through 2026-08-25
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.rolling_avg_return_pct,0.033478,0.028578
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.rolling_date_return_lcb90,-0.001166,-0.000462
stock_tech_s08_rsi2_bull_mean_reversion_v1,learning.rolling_date_return_mean,0.021197,0.013355
