threshold,component_id,component_size,component_rank,feature_id,leader_feature_id,origin_pool,category,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage
0.75,1,35,23,tech_bbi,mom_macd_trend_10,strategy95,technical,0.524584,0.7150483335457578,0.20478812545363967,-0.4271951670893068,-0.039384848132628644,0.8260947444262098
0.75,1,35,24,tech_ema_12_pos,mom_macd_trend_10,strategy95,technical,0.506474,0.6141508501251196,0.16782812941038738,-0.4025913183680675,-0.03928779210510085,0.8490103270223752
0.75,1,35,25,tech_donchian_pos_20,mom_macd_trend_10,strategy95,technical,0.501319,0.7201120131520315,0.16447903686554644,-0.2987998649049671,-0.018193219221246136,0.8289877116439178
0.75,1,35,26,BETA_60,mom_macd_trend_10,ml106,price_technical,0.501224,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,0.8490103270223752
0.75,1,35,27,tech_wma_10_pos,mom_macd_trend_10,strategy95,technical,0.469138,0.4601214333632537,0.1193516920869575,-0.3858439633969256,-0.041090535300176596,0.8376425969659368
0.75,1,35,28,RESI_60,mom_macd_trend_10,ml106,price_technical,0.463772,0.6161394741084503,0.1933559867768435,-0.44101993371492076,-0.030571293526659913,0.8490103270223752
0.75,1,35,29,return_3d,mom_macd_trend_10,ml106,price_technical,0.443625,0.3430426247067957,0.07626940108997404,-0.2999571493520742,-0.030380253564112898,0.8490103270223752
0.75,1,35,30,tech_kdj_j_9,mom_macd_trend_10,strategy95,technical,0.435748,0.4654677122550752,0.09557018423482178,-0.3294456446489902,-0.022252550501434633,0.9459292318776769
0.75,1,35,31,tech_sar,mom_macd_trend_10,strategy95,technical,0.401955,0.49671730486589166,0.12815455780786067,-0.40807543672903424,-0.02242895186482997,0.8490103270223752
0.75,1,35,32,tech_mfi_14,mom_macd_trend_10,strategy95,technical,0.389244,0.2924981361312414,0.06507907399689938,-0.31583371547724903,0.021913024991509725,0.8509546491614298
0.75,1,35,33,return_5d,mom_macd_trend_10,ml106,price_technical,0.316322,-0.03920552332232156,-0.011256097664674836,-0.337748082314519,-0.030274600970103344,0.8490103270223752
0.75,1,35,34,ma60_bias,mom_macd_trend_10,ml106,price_technical,0.272382,0.017353031777253433,-0.0022773467132697345,-0.36537032929279756,-0.019092523533406746,0.8490103270223752
0.75,1,35,35,ma10_bias,mom_macd_trend_10,ml106,price_technical,0.0,,,,,
0.75,2,8,1,size_log_mktcap,size_log_mktcap,strategy95,size,0.92815,1.761838651432996,0.45215565615268805,-0.08287270434707628,-0.02933103388932737,0.8990653644478245
0.75,2,8,2,liq_amihud_21d,size_log_mktcap,strategy95,volatility,0.783625,1.389453776642602,0.42296855225624563,-0.20473979659687314,-0.017234238980589386,0.8281331305287596
0.75,2,8,3,vol_share_turnover_21d,size_log_mktcap,strategy95,volume,0.749257,1.3185243687799915,0.45930590670112625,-0.30900958905155307,0.022877627495641394,0.8250710483128527
0.75,2,8,4,VSTD_10,size_log_mktcap,ml106,price_technical,0.676748,1.1223061933613447,0.45209574121977303,-0.2988423208512888,-0.011198127329158208,0.8490103270223752
0.75,2,8,5,tech_ma_convergence,size_log_mktcap,strategy95,technical,0.608188,0.9387769012180501,0.3011333711795743,-0.2854939826861511,0.01772603473902206,0.8431543449545691
0.75,2,8,6,VSTD_20,size_log_mktcap,ml106,price_technical,0.562399,0.9863925106786208,0.37778283174368776,-0.3857193705359393,-0.009164277254993572,0.8490103270223752
0.75,2,8,7,l1_bbBandwidthPct,size_log_mktcap,strategy95,l1_signal,0.556929,0.8111671035415022,0.2581690348360681,-0.37395649218906424,-0.028956061523209484,0.8289877116439178
0.75,2,8,8,vola_realized_1m,size_log_mktcap,strategy95,volatility,0.426437,0.31836370526083163,0.07481867089007044,-0.39786993149487104,0.0394532361551591,0.9452958011447784
0.75,3,7,1,mom_hl52,mom_hl52,strategy95,momentum,0.716675,1.5289672019025116,0.4028287727256945,-0.26652248227267306,0.008560041936923373,0.7389965176319897
0.75,3,7,2,mom_close_to_52w_high,mom_hl52,strategy95,momentum,0.695808,1.197084833838478,0.2675524819928632,-0.23903821719133767,0.029051965857742987,0.7389965176319897
0.75,3,7,3,mom_reversal_6m,mom_hl52,strategy95,momentum,0.634873,1.2480471019436454,0.40353876361628194,-0.32679083735846615,0.004860795599460537,0.8327812912780691
0.75,3,7,4,mom_vol_adj_12m,mom_hl52,strategy95,momentum,0.600446,1.1214955568904736,0.3785676808036287,-0.3517698750706202,0.008617848802879415,0.8208061481807629
0.75,3,7,5,mom_9m,mom_hl52,strategy95,momentum,0.600355,1.1693406421677548,0.4147093054117248,-0.34427272296801537,-0.0007287269651931009,0.8265960853380299
0.75,3,7,6,mom_12m_1m,mom_hl52,strategy95,momentum,0.598464,0.9160370129142429,0.29879493958237147,-0.25733987660329893,0.012758555552196243,0.8209282311972141
0.75,3,7,7,mom_ma50_200_ratio,mom_hl52,strategy95,momentum,0.551163,1.152921352619967,0.33822672840206036,-0.40857744267535434,0.009398449083652049,0.7528079093783773
0.75,4,4,1,CNTP_20,CNTP_20,ml106,price_technical,0.593563,1.0992342163780773,0.30592841961204087,-0.25390602450591016,-0.0009401601331177432,0.8490103270223752
0.75,4,4,2,CNTD_20,CNTP_20,ml106,price_technical,0.557642,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.004253655684398926,0.8490103270223752
0.75,4,4,3,tech_psy_12,CNTP_20,strategy95,technical,0.478108,0.6253978651336378,0.14714326068579986,-0.2663557794285386,0.008930668763483758,1.0
0.75,4,4,4,CNTN_20,CNTP_20,ml106,price_technical,0.443408,0.288667457179951,0.053086798479323294,-0.12794114533610312,-0.00940610616651,0.8490103270223752
0.75,5,4,1,KMID,KMID,ml106,price_technical,0.542447,0.8947735732653767,0.2482570719195467,-0.3352650538468207,-0.016044050814931078,0.8490103270223752
0.75,5,4,2,vwap_bias,KMID,ml106,price_technical,0.432294,0.6548278124557457,0.18588449688107245,-0.4514600864499013,-0.022682625240283836,0.8490103270223752
0.75,5,4,3,KSFT,KMID,ml106,price_technical,0.410922,0.6016463949597696,0.15898708748333057,-0.46773006589387756,-0.022674724010259592,0.8490103270223752
0.75,5,4,4,KSFT2,KMID,ml106,price_technical,0.315479,-0.7411505153785028,-0.06599961753047667,-0.2194154792034113,-0.026350872903034304,0.8490103270223752
0.75,6,3,1,CNTP_5,CNTP_5,ml106,price_technical,0.458057,0.4516561437953129,0.10359945980000251,-0.24810551995961228,-0.01804951616020741,0.8490103270223752
0.75,6,3,2,CNTD_5,CNTP_5,ml106,price_technical,0.427588,0.378086729955027,0.08408231135822009,-0.2488282857699201,-0.015763585566174253,0.8490103270223752
0.75,6,3,3,CNTN_5,CNTP_5,ml106,price_technical,0.321977,0.04426895555558226,0.015823058159040837,-0.24260708779307194,0.010186658891787534,0.8490103270223752
0.75,7,3,1,l1_bestOrderBlockStrength,l1_bestOrderBlockStrength,strategy95,l1_signal,0.422021,0.7267270117603629,0.19517829744639892,-0.3869671022841906,-0.02856489232809008,
0.75,7,3,2,l1_displacementPct,l1_bestOrderBlockStrength,strategy95,l1_signal,0.401171,0.6970229370663152,0.19916545716124046,-0.41802488006106453,-0.028612316377270106,
0.75,7,3,3,l1_smcBullishScore,l1_bestOrderBlockStrength,strategy95,l1_signal,0.365532,0.6122549707943886,0.15461711495692287,-0.3955482743982903,-0.024958347213680725,
0.75,8,2,1,IMIN_20,IMIN_20,ml106,price_technical,0.463059,0.6028733454001812,0.10600118711279816,-0.18265483538954708,0.0022061193201845897,0.8490103270223752
0.75,8,2,2,IMXD_20,IMIN_20,ml106,price_technical,0.436912,0.617580100269255,0.1498800760766914,-0.28000730545254804,0.004077178672048777,0.8490103270223752
0.75,9,2,1,KLOW,KLOW,ml106,price_technical,0.500447,0.52083573025954,0.11508203157544328,-0.2991935949723702,-0.032584146140033084,0.8490103270223752
0.75,9,2,2,KLOW2,KLOW,ml106,price_technical,0.368586,-0.0798954591632305,0.00626552252793422,-0.13611544288977873,-0.013223087038205053,0.8490103270223752
0.75,10,2,1,KUP2,KUP2,ml106,price_technical,0.465065,0.46429285394254055,0.07510282180653083,-0.19778641626976323,0.015127223436381228,0.8490103270223752
0.75,10,2,2,KUP,KUP2,ml106,price_technical,0.379275,0.5042933300383275,0.13225381566812677,-0.36236029501035705,-0.008571620645999665,0.8490103270223752
0.75,11,2,1,advance_ratio,advance_ratio,ml106,market_regime,0.261202,-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752
0.75,11,2,2,us_sentiment_score,advance_ratio,ml106,market_regime,0.261202,-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752
0.75,12,2,1,foreign_5d,foreign_5d,ml106,chip_margin_flow,0.525683,0.9002877246825243,0.25113361524038624,-0.3264120588582371,0.009623744365891683,0.8490103270223752
0.75,12,2,2,chip_5d,foreign_5d,ml106,chip_margin_flow,0.477989,0.8587894339174001,0.2439313920824555,-0.3426538194333647,0.0021503877079820403,0.8490103270223752
0.75,13,2,1,l1_eps,l1_eps,strategy95,l1_signal,0.922658,1.3845698183864072,0.40860573862387484,-0.11674979841497535,0.04367495258230366,0.9356022095024616
0.75,13,2,2,l1_roe,l1_eps,strategy95,l1_signal,0.730533,1.1161568721072126,0.2579724372223331,-0.2526233467640566,0.0426630777786274,0.9356022095024616
