strategy_factor,strategy_source,strategy_category,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,strategy_best_direction,strategy_declared_direction,strategy_is_declared_direction,strategy_best_sharpe,strategy_best_cagr,strategy_best_mdd,strategy_mean_ic_5d,ml106_feature_best_direction,ml106_feature_best_sharpe,ml106_feature_best_cagr,ml106_feature_best_mdd,ml106_mean_ic_5d,action
mom_rsi_14,alphabuilderstw,momentum,rsi14,0.9993928476854859,high_duplicate_ge_0_8,high,1.0,1,0.8975416619857337,0.25128846984140374,-0.26615605575060464,-0.016680265262073793,high,0.8591419048345269,0.23750208742165713,-0.24000349075938632,-0.016774643423643286,dedupe_or_keep_as_alias
mom_vol_adj_12m,alphabuilderstw,momentum,BETA_60,0.41835794536306936,medium_related_0_4_0_8,high,1.0,1,1.1214955568904736,0.3785676808036287,-0.3517698750706202,0.008617848802879415,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
size_log_mktcap,alphabuilderstw,size,VSTD_10,0.5609764382039321,medium_related_0_4_0_8,low,-1.0,1,1.761838651432996,0.45215565615268805,-0.08287270434707628,-0.02933103388932737,high,1.1223061933613447,0.45209574121977303,-0.2988423208512888,-0.011198127329158208,keep_but_cluster_with_ml_neighbor
tech_adx_14,alphabuilderstw,technical,volatility_20d,0.3442972167791932,low_novel_lt_0_4,high,1.0,1,0.8951033835393679,0.23085137531971633,-0.28675862549103426,0.0011158948052711773,low,0.15861162721279515,0.033253543999161916,-0.40730346967219666,-0.011327749917532002,candidate_add_to_shared_pool
tech_atr_14,alphabuilderstw,technical,atr14,0.9941279340651132,high_duplicate_ge_0_8,low,-1.0,1,1.6244918233475525,0.5884929786548279,-0.14828783657571565,0.01032094364570334,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,dedupe_or_keep_as_alias
tech_bbands_pctb_20,alphabuilderstw,technical,bb_position,0.9999443322547963,high_duplicate_ge_0_8,high,1.0,1,0.7211268094531443,0.1483565003945191,-0.2774755313148214,-0.025125465225420657,high,0.7122178279157613,0.14837405278389437,-0.2757609317919303,-0.024891557255207197,dedupe_or_keep_as_alias
tech_bbi,alphabuilderstw,technical,ma10_bias,0.9326191069361046,high_duplicate_ge_0_8,high,1.0,1,0.7150483335457578,0.20478812545363967,-0.4271951670893068,-0.039384848132628644,low,0.39241664745714355,0.09468987022038866,-0.3863434029168902,-0.039719990304153976,dedupe_or_keep_as_alias
tech_bias_20,alphabuilderstw,technical,keltner_position,0.9450892319382743,high_duplicate_ge_0_8,low,-1.0,1,0.7552470944805161,0.22407244983492536,-0.34984646541159825,0.03349804841805848,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
tech_bullish_streak_5,alphabuilderstw,event,CNTP_5,0.5944209378532728,medium_related_0_4_0_8,high,1.0,1,0.627464809272618,0.11745406563638427,-0.19946566022387324,-0.013881285033494234,high,0.4516561437953129,0.10359945980000251,-0.24810551995961228,-0.01804951616020741,watch_or_strategy_only
tech_cci_20,alphabuilderstw,technical,bb_position,0.9767227898324436,high_duplicate_ge_0_8,high,1.0,1,0.3836270479507817,0.08164126697477925,-0.3320337482414141,-0.019377130117994135,high,0.7122178279157613,0.14837405278389437,-0.2757609317919303,-0.024891557255207197,dedupe_or_keep_as_alias
tech_cmo_14,alphabuilderstw,technical,rsi14,0.9993927258943356,high_duplicate_ge_0_8,high,1.0,1,0.8975416619857337,0.25128846984140374,-0.26615605575060464,-0.016679944600498108,high,0.8591419048345269,0.23750208742165713,-0.24000349075938632,-0.016774643423643286,dedupe_or_keep_as_alias
tech_disposal_active,alphabuilderstw,event,BETA_20,0.10985690460566265,low_novel_lt_0_4,low,-1.0,1,0.22335009573275666,0.04711580003232285,-0.46121354860711583,-0.003577431567739164,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,watch_or_strategy_only
