feature_id,origin_pool,category,source_system,active_pool_status,direction_mode,direction,coverage,cagr,monthly_sharpe,monthly_sortino,max_drawdown,calmar,win_ratio,total_return,benchmark_alpha,benchmark_beta,trade_count,avg_daily_matches,latest_matches,mean_ic_5d,median_ic_5d,ic_ir_5d,ic_obs_days,nearest_ml106_feature,nearest_abs_rank_corr,max_abs_rank_corr_to_strategy95,quality_bucket,selection_note
CORD_10,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.05274356967883698,0.27099576495451244,0.4545363614080127,-0.22975608455038365,0.22955332934383202,0.38974358974358975,0.18663453600598734,0.09459916635720274,0.9368436812064096,410.0,10.0,10.0,-0.034071551312261125,-0.03335449967468402,-0.4263069483125742,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CORR_10,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.06300348314960735,0.40596350747411103,0.7322404527259241,-0.215631511160006,0.2921676944790967,0.45103092783505155,0.2255752629966079,0.12142863827812192,1.307716094128578,410.0,10.0,10.0,-0.032580537176863884,-0.03442338094189771,-0.35736867330693084,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
IMAX_20,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,-0.028011827189906247,-0.18555567055514574,-0.3271362046360684,-0.42147082771102184,-0.06646050151802368,0.43041237113402064,-0.09025304966681869,0.026558605760965345,1.2214367814077047,410.0,10.0,10.0,0.009082727729824483,0.00681423790910324,0.11346774976042309,825.0,,,0.6359592103457528,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
IMIN_20,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.10600118711279816,0.6028733454001812,1.1658357386076141,-0.18265483538954708,0.5803042872851927,0.4689119170984456,0.39853159632905677,0.16928671244254162,1.4165045829496665,410.0,10.0,10.0,0.0022061193201845897,0.004943881366439697,0.025024451144108367,825.0,,,0.6271370221069343,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
IMXD_20,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.1498800760766914,0.617580100269255,1.3891033996882602,-0.28000730545254804,0.5352529045819642,0.4601542416452442,0.5919377339517047,0.23837376185629072,1.9807327317862506,410.0,10.0,10.0,0.004077178672048777,-0.001368714837291546,0.04489188377621202,825.0,,,0.7411121981934947,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KLEN,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.1705486514243293,0.6068693319881608,1.3940116616129616,-0.38736495329600396,0.4402676269418181,0.42930591259640105,0.6892115267517016,0.330450117566503,3.5790357815724554,410.0,10.0,10.0,-0.05044792028930972,-0.05412952502606554,-0.3036808307179387,825.0,,,0.6670040182754565,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KLOW,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.11508203157544328,0.52083573025954,0.9726158995852155,-0.2991935949723702,0.38462783706215314,0.450261780104712,0.4371268838632063,0.2405773249009269,2.808930750087558,410.0,10.0,10.0,-0.032584146140033084,-0.03314241701088136,-0.4009192186700367,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KLOW2,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.00626552252793422,-0.0798954591632305,-0.14406795617188925,-0.13611544288977873,0.0460275639507556,0.4244791666666667,0.021011975529955818,0.021060140455224648,0.3311443491667905,406.0,10.0,10.0,-0.013223087038205053,-0.013212524529585606,-0.23629105023080865,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KMID,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.2482570719195467,0.8947735732653767,2.206000356977668,-0.3352650538468207,0.7404579287099885,0.43523316062176165,1.0922710771442166,0.39851387922957004,3.3631617192881547,409.0,10.0,10.0,-0.016044050814931078,-0.015192536861012771,-0.15089967518129693,825.0,,,0.7072547618172181,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KMID2,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,-0.010255000522836566,-0.1845538387648053,-0.28361074311382606,-0.20231254343714267,-0.05068639583419718,0.41968911917098445,-0.03373531889925785,0.016614595313177178,0.6014156546130617,410.0,10.0,10.0,-0.017885057880366536,-0.017547250758600853,-0.21882583964693503,825.0,,,0.6696628975827166,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KSFT,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.15898708748333057,0.6016463949597696,1.2216326017739443,-0.46773006589387756,0.3399047870305857,0.44072164948453607,0.6343014585333311,0.26177016623658333,2.3005687532032306,410.0,10.0,10.0,-0.022674724010259592,-0.019977584344460713,-0.2062056934740747,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KSFT2,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,-0.06599961753047667,-0.7411505153785028,-1.1400406707316981,-0.2194154792034113,-0.30078374567109345,0.390745501285347,-0.20332970362980984,-0.04327548389263902,0.5086287784424782,408.0,10.0,10.0,-0.026350872903034304,-0.025358009359146404,-0.32645380474961827,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KUP,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.13225381566812677,0.5042933300383275,1.315946575474317,-0.36236029501035705,0.3649687004955712,0.4498714652956298,0.512136888030484,0.2167818440591734,1.8919703831129262,410.0,10.0,10.0,-0.008571620645999665,-0.007976367411009865,-0.0834237906127942,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
KUP2,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.07510282180653083,0.46429285394254055,0.7483286292132921,-0.19778641626976323,0.3796975861488935,0.47668393782383417,0.2726359318829774,0.15921229664176356,1.8826020002650197,409.0,10.0,10.0,0.015127223436381228,0.014258964796783093,0.23675998062267237,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RESI_10,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.20162945335112448,0.6961414421710056,1.6820826610826636,-0.34016361966459974,0.5927251312136568,0.4536082474226804,0.8432077296913427,0.31863222390186563,2.6188446700787846,410.0,10.0,10.0,-0.024413536721783594,-0.020532632878049628,-0.21962575825117447,825.0,,,0.7434584972052577,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RESI_20,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.25301447215390827,0.7535916703983633,2.1733969805819995,-0.41053889877605876,0.6162834023138363,0.49226804123711343,1.1189368145652145,0.333280873194745,1.796583410484628,410.0,10.0,10.0,-0.02936403825748984,-0.02292456340655157,-0.27136052247151876,825.0,,,0.7691709148451584,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RESI_5,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.26426723249716555,0.9357175669691824,2.1062495683680917,-0.3623048814335177,0.7293855318654825,0.42010309278350516,1.1829546342641808,0.3745533680152505,2.468507855203889,410.0,10.0,10.0,-0.008104311721233284,-0.004326098443625881,-0.07675471285123209,825.0,,,0.6698075706805701,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RESI_60,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.1933559867768435,0.6161394741084503,1.6429768381876262,-0.44101993371492076,0.43841919106975563,0.45618556701030927,0.8012947230232492,0.35543374808803546,3.6277472691472683,410.0,10.0,10.0,-0.030571293526659913,-0.0302178682107319,-0.277088504889843,825.0,,,0.7828144475736643,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RSQR_10,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.10641065479470435,0.5492318597222078,1.2961666416379842,-0.1266014010184564,0.8404508120022512,0.4564102564102564,0.4002561110802234,0.13948861667230453,0.7403760077856901,410.0,10.0,10.0,-0.0005563138075546183,-0.00039101689857514013,-0.00814714046179583,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RSQR_20,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.1997830109927048,1.0360543005281957,2.628319895575187,-0.1815529209271679,1.1003513821681998,0.4909560723514212,0.8337952194969316,0.2522099191412553,1.1734587850122675,409.0,10.0,10.0,0.011248603066798316,0.005226994743858283,0.1654308150506817,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RSQR_5,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.0008777260292843758,-0.002094991401164653,-0.004260646424741308,-0.39028614955721086,-0.0022488718637889505,0.4241645244215938,-0.0029191629143864306,0.10495134067850945,2.368746363719007,410.0,10.0,10.0,0.0005648894852897115,0.0005223390834761824,0.008983478868450426,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
RSQR_60,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.14461410526109963,0.6591787619746001,1.2319488851877813,-0.19051598577570117,0.7590256241022586,0.4536082474226804,0.5677954937900196,0.29944334180948073,3.465505295289151,410.0,10.0,10.0,0.0024164649992514803,-0.0003279475629550257,0.033268915196591475,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
VSTD_10,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.45209574121977303,1.1223061933613447,4.3958503799826225,-0.2988423208512888,1.5127730644084216,0.4884318766066838,2.461934877549271,0.5962860535421113,3.2273768315476703,406.0,10.0,10.0,-0.011198127329158208,-0.008619343641125678,-0.08060370411169149,825.0,,,0.7581483010108956,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
VSTD_20,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.37778283174368776,0.9863925106786208,3.204547364137826,-0.3857193705359393,0.9793986680837643,0.4910025706940874,1.9064597413606776,0.5431088204489949,3.7004515560478426,403.0,10.0,10.0,-0.009164277254993572,-0.005971030758647315,-0.06386882778113917,825.0,,,0.7678303012502202,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
linear_factor,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.1855357357240095,1.1061957119556522,2.673590697637504,-0.17396684163742504,1.0664392684554744,0.4461942257217848,0.7622950203600678,0.17890804365908894,-0.14834602597392313,409.0,10.0,10.0,-0.011288672783924866,-0.007395075645144012,-0.12267043928710468,825.0,,,0.6320983238100217,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
ma60_bias,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.0022773467132697345,0.017353031777253433,0.03455507084220619,-0.36537032929279756,-0.0062328114862603414,0.3798449612403101,-0.00756171477193357,0.10211458319107197,2.336579278784361,410.0,10.0,10.0,-0.019092523533406746,-0.014398563499694667,-0.1963334232374614,825.0,,,0.7583943112577085,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
margin_balance,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.5063645703205581,1.22696275209144,4.166344318125814,-0.21257522319569955,2.3819368190723877,0.4910025706940874,2.9117364723974934,0.6550672367147269,3.3283757596490924,402.0,10.0,10.0,0.0009833094987732696,0.008181930797037747,0.006939447755024062,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
margin_change_5d,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
margin_change_5d_ts,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.1749601967092007,0.9822929877882141,2.5732116748901235,-0.12932851881860463,1.3527307897702137,0.46770025839793283,0.7104994773305888,0.22906075121910968,1.2109196060886276,410.0,10.0,10.0,-0.004256894031606372,-0.00510442221737185,-0.08132333719348586,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
