feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
mom_9m,strategy95,momentum,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_ma50_200_ratio,0.85977749,mom_hl52,2,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_close_to_52w_high,strategy95,momentum,core_prior,keep_candidate,materialized,True,related_cluster,mom_hl52,0.77006742,mom_close_to_52w_high,56,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_hl52,strategy95,momentum,core_prior,keep_candidate,materialized,True,high_duplicate,mom_9m,0.81732635,mom_hl52,2,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_ma50_200_ratio,strategy95,momentum,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_reversal_6m,0.87284352,mom_hl52,2,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_macd_trend_10,strategy95,momentum,core_prior,keep_candidate,materialized,True,high_duplicate,tech_dma_10_50,0.97671504,mom_macd_trend_10,1,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_reversal_1m,strategy95,momentum,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_return20d,0.96140612,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_reversal_6m,strategy95,momentum,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_ma50_200_ratio,0.87284352,mom_hl52,2,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_vol_adj_12m,strategy95,momentum,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_12m_1m,0.91759594,mom_hl52,2,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
size_log_mktcap,strategy95,size,core_prior,keep_candidate,materialized,True,high_duplicate,liq_amihud_21d,0.85327785,size_log_mktcap,13,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_adx_14,strategy95,technical,core_prior,keep_candidate,materialized,True,independent_candidate,l1_bbBandwidthPct,0.39953322,tech_adx_14,60,16,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
