feature_id,origin_pool,category,recommended_status,recommended_pool,reasons,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr
RESI_20,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.7535916703983633,0.25301447215390827,-0.41053889877605876,-0.02936403825748984,0.8490103270223752,tech_wma_10_pos,0.76917091
RESI_60,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.6161394741084503,0.1933559867768435,-0.44101993371492076,-0.030571293526659913,0.8490103270223752,tech_bias_20,0.78281445
VSTD_10,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,1.1223061933613447,0.45209574121977303,-0.2988423208512888,-0.011198127329158208,0.8490103270223752,VSTD_20,0.95268762
VSTD_20,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.9863925106786208,0.37778283174368776,-0.3857193705359393,-0.009164277254993572,0.8490103270223752,VSTD_10,0.95268762
ma60_bias,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.017353031777253433,-0.0022773467132697345,-0.36537032929279756,-0.019092523533406746,0.8490103270223752,tech_keltner_pos_20,0.75839431
return_3d,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.3430426247067957,0.07626940108997404,-0.2999571493520742,-0.030380253564112898,0.8490103270223752,vol_money_flow_5d,0.78818103
vwap_bias,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.6548278124557457,0.18588449688107245,-0.4514600864499013,-0.022682625240283836,0.8490103270223752,KSFT,0.9996041
l1_bbBandwidthPct,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.8111671035415022,0.2581690348360681,-0.37395649218906424,-0.028956061523209484,0.8289877116439178,tech_ma_convergence,0.86924211
l1_bestFvgStrength,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,missing_pairwise_panel,0.8621606092076173,0.22072000497616395,-0.43575370868060626,-0.017576255853314408,,,
l1_bestOrderBlockStrength,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,missing_pairwise_panel,0.7267270117603629,0.19517829744639892,-0.3869671022841906,-0.02856489232809008,,,
l1_bosBullish,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,missing_pairwise_panel,0.7045782888724512,0.17162817296048094,-0.33474138483264426,-0.005600198944839038,,,
l1_chochBullish,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,missing_pairwise_panel,0.015348571101190329,0.01644974243909081,-0.1697384952176756,-0.011856399098572544,,,
l1_closeAboveMa60Pct,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,1.067961044854322,0.3440435366918029,-0.401804020127302,-0.017697676680799728,0.8053676500020014,tech_trix_12,0.87317589
l1_dealerNet5d,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,missing_pairwise_panel,0.9663586985555359,0.28759869154607864,-0.20927158948899727,-0.011429904564612464,,,
l1_diTrend,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.6174369249706447,0.15262365115076904,-0.28865735159885164,-0.027199473141347547,0.9445332826321899,tech_keltner_pos_20,0.8474573
l1_displacementPct,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,missing_pairwise_panel,0.6970229370663152,0.19916545716124046,-0.41802488006106453,-0.028612316377270106,,,
l1_liquiditySweepBullish,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,weak_ic_and_weak_backtest,-0.1536342879135669,0.0004600562407381936,-0.15875703931722862,-0.0049869237405415386,,,0.0
l1_return20d,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.9887146507623726,0.3375485600178736,-0.35376549742919805,-0.022857431844817755,0.8445212744666373,mom_reversal_1m,0.96140612
l1_roe,strategy95,l1_signal,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,1.1161568721072126,0.2579724372223331,-0.2526233467640566,0.0426630777786274,0.9356022095024616,l1_eps,0.92258585
