pool,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,nearest_other_feature,nearest_abs_rank_corr,overlap_tier,status_current,eligible_current,reason_code
ml106,avg_volume_bucket,stockvision_ml106,sector_metadata,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,bull_alignment_pct,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,foreign_consecutive_sell,stockvision_ml106,chip_margin_flow,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,foreign_net_5d_market,stockvision_ml106,chip_margin_flow,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,has_sentiment,stockvision_ml106,sentiment,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,limit_down_count,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,limit_down_pct,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,margin_change_5d,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,market_bias_20d,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,market_cap_bucket,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,market_return_1d,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,market_return_5d,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,market_risk_level,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,market_risk_score,stockvision_ml106,price_technical,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,retail_pct,stockvision_ml106,chip_margin_flow,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,revenue_yoy,stockvision_ml106,fundamental_revenue,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,sector_encoded,stockvision_ml106,sector_metadata,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,sector_peer_return_1d,stockvision_ml106,sector_metadata,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,sector_peer_return_5d,stockvision_ml106,sector_metadata,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,sentiment,stockvision_ml106,sentiment,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,sentiment_3d,stockvision_ml106,sentiment,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,short_ratio,stockvision_ml106,chip_margin_flow,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,stock_vs_sector,stockvision_ml106,sector_metadata,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_dxy_return,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_gspc_return,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_hy_spread,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_hy_spread_chg,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_sentiment_score,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_sox_return,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,us_vix,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,stock_vs_market,stockvision_ml106,other,-0.314719,-3.01%,-26.97%,strategy95_max_corr,0.707826,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KSFT2,stockvision_ml106,price_technical,-0.741151,-6.60%,-21.94%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
strategy95,size_log_mktcap,alphabuilderstw,size,1.761839,45.22%,-8.29%,VSTD_10,0.560976,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_atr_14,alphabuilderstw,technical,1.624492,58.85%,-14.83%,atr14,0.994128,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,val_sp,alphabuilderstw,valuation,1.566795,31.71%,-12.43%,atr14,0.229842,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_brokerNetAmount5d,stockvision_l1,l1_signal,1.537327,53.60%,-13.59%,chip_5d,0.494702,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_hl52,alphabuilderstw,momentum,1.528967,40.28%,-26.65%,BETA_60,0.605973,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_macd_trend_10,alphabuilderstw,momentum,1.451122,50.59%,-24.25%,BETA_60,0.753522,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,liq_amihud_21d,alphabuilderstw,volatility,1.389454,42.30%,-20.47%,VSTD_20,0.767830,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_dma_10_50,alphabuilderstw,technical,1.387178,48.72%,-25.41%,BETA_60,0.723711,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_eps,stockvision_l1,l1_signal,1.384570,40.86%,-11.67%,bb_lower_raw,0.691406,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vol_share_turnover_21d,alphabuilderstw,volume,1.318524,45.93%,-30.90%,VSTD_20,0.762401,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vola_cv_90d,alphabuilderstw,volatility,1.287991,51.34%,-34.14%,KLEN,0.555516,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
