feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr,nearest_rank_corr,duplicate_level,high_duplicate_cluster_id,high_duplicate_cluster_leader,related_cluster_id,related_cluster_leader,preferred_feature_id,similarity_status
tech_atr_14,strategy95,technical,core_prior,keep_candidate,materialized,0.895564,1.6244918233475525,0.5884929786548279,-0.14828783657571565,0.01032094364570334,0.9445332826321899,val_bp,0.66490774,0.66490774,related_cluster,61,tech_atr_14,1,size_log_mktcap,tech_atr_14,measured
tech_dma_10_50,strategy95,technical,core_prior,keep_candidate,materialized,0.778798,1.3871775195061278,0.48715579247388807,-0.2540742809829164,-0.005591782171573579,0.810510146899892,mom_macd_trend_10,0.97671504,0.97671504,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
tech_emv_14,strategy95,technical,core_prior,keep_candidate,materialized,0.718688,1.1391190681485723,0.38090325828724847,-0.16931896718714323,0.0002660509499571099,0.8330084457431053,l1_squeezeMomentum,0.61855493,0.61855493,related_cluster,64,tech_emv_14,1,size_log_mktcap,tech_emv_14,measured
tech_granville_score,strategy95,technical,core_prior,keep_candidate,materialized,0.555434,1.0747948559140006,0.3510467771211254,-0.4565099408510582,0.008200300223862988,0.7528079093783773,RSQR_60,0.32078948,0.32078948,independent_candidate,67,tech_granville_score,20,tech_granville_score,tech_granville_score,measured
tech_mtm_10,strategy95,technical,core_prior,keep_candidate,materialized,0.757752,1.15534920055515,0.3671560583085409,-0.25069716142087894,-0.023668102696947795,0.8457591161990153,tech_roc_10,0.913223,0.913223,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
tech_obv,strategy95,technical,core_prior,keep_candidate,materialized,0.576736,0.8524304501168487,0.20356269299295637,-0.2992799886074031,-0.01642460306377414,0.8477394628347276,tech_vr_26,0.7470273,0.7470273,related_cluster,73,tech_obv,1,size_log_mktcap,tech_obv,measured
tech_trix_12,strategy95,technical,core_prior,keep_candidate,materialized,0.754939,1.195942094179933,0.4376423193309871,-0.23449129065375574,-0.007334643418841766,0.9475513349077372,tech_dma_10_50,0.88059952,0.88059952,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
tech_volume_ratio_5,strategy95,technical,core_prior,keep_candidate,materialized,0.376781,0.2934269818983998,0.06379995685005269,-0.32470272947426915,-0.009415586814862003,0.8498749149421607,vol_ratio_20d,0.73758706,0.73758706,related_cluster,77,tech_volume_ratio_5,1,size_log_mktcap,tech_volume_ratio_5,measured
tech_vr_26,strategy95,technical,core_prior,keep_candidate,materialized,0.526523,0.7765375715212933,0.20118818089798074,-0.3312820408855389,-0.01171049680086905,0.8461563863427131,tech_obv,0.7470273,0.7470273,related_cluster,78,tech_vr_26,1,size_log_mktcap,tech_vr_26,measured
val_bp,strategy95,valuation,core_prior,keep_candidate,materialized,0.692955,0.9606081304410048,0.3345265914327862,-0.2338468423580754,0.014565206117043691,0.9250210142897171,tech_atr_14,0.66490774,0.66490774,related_cluster,79,val_bp,1,size_log_mktcap,val_bp,measured
val_sp,strategy95,valuation,core_prior,keep_candidate,materialized,0.845693,1.5667947443236199,0.3170664797984333,-0.12432960015229066,0.016807278206852,0.8972040987871753,val_bp,0.34777737,0.34777737,independent_candidate,82,val_sp,22,val_sp,val_sp,measured
vola_cv_90d,strategy95,volatility,core_prior,keep_candidate,materialized,0.78436,1.287991475978404,0.5133742869047071,-0.341433809113174,0.02387624343868334,0.7913090901813233,vola_realized_1m,0.70855436,0.70855436,related_cluster,88,vola_cv_90d,1,size_log_mktcap,vola_cv_90d,measured
vola_min_130d,strategy95,volatility,core_prior,keep_candidate,materialized,0.588346,0.484704606324487,0.04472047870094298,-0.05754522601735301,0.022921307608739734,0.9338700316215026,vola_realized_12m,0.73088293,0.73088293,related_cluster,89,vola_min_130d,1,size_log_mktcap,vola_min_130d,measured
vol_chg_turnover_1y,strategy95,volume,core_prior,keep_candidate,materialized,0.302691,0.08340600618476303,0.009012614300180966,-0.43468574848050856,-0.025691648014846292,0.7361715966857463,vol_signal_5d,0.50951236,0.50951236,related_cluster,83,vol_chg_turnover_1y,1,size_log_mktcap,vol_chg_turnover_1y,measured
vol_cv_volprice_20d,strategy95,volume,core_prior,keep_candidate,materialized,0.603901,0.570571423399832,0.09970890251396014,-0.20360167261761086,0.03506245844812996,0.8289877116439178,volatility_20d,0.36638536,-0.36638536,independent_candidate,84,vol_cv_volprice_20d,23,vol_cv_volprice_20d,vol_cv_volprice_20d,measured
vol_signal_5d,strategy95,volume,core_prior,keep_candidate,materialized,0.387902,0.20766448599252746,0.042742312506867775,-0.28164314821984926,-0.012562317341180292,0.8397730456710564,l1_volumeExpansion20,0.71732213,0.71732213,related_cluster,87,vol_signal_5d,1,size_log_mktcap,vol_signal_5d,measured
l1_bbBandwidthPct,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.556929,0.8111671035415022,0.2581690348360681,-0.37395649218906424,-0.028956061523209484,0.8289877116439178,tech_ma_convergence,0.86924211,-0.86924211,high_duplicate,5,tech_ma_convergence,1,size_log_mktcap,tech_ma_convergence,measured
l1_bestFvgStrength,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.387762,0.8621606092076173,0.22072000497616395,-0.43575370868060626,-0.017576255853314408,,return_3d,0.43269872,0.43269872,related_cluster,30,l1_bestFvgStrength,1,size_log_mktcap,l1_bestFvgStrength,measured
l1_bestOrderBlockStrength,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.422021,0.7267270117603629,0.19517829744639892,-0.3869671022841906,-0.02856489232809008,,l1_displacementPct,0.98322094,0.98322094,high_duplicate,6,l1_bestOrderBlockStrength,1,size_log_mktcap,l1_bestOrderBlockStrength,measured
l1_bosBullish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.351245,0.7045782888724512,0.17162817296048094,-0.33474138483264426,-0.005600198944839038,,l1_smcBullishScore,0.38750653,0.38750653,independent_candidate,31,l1_bosBullish,8,l1_bosBullish,l1_bosBullish,measured
l1_chochBullish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.280304,0.015348571101190329,0.01644974243909081,-0.1697384952176756,-0.011856399098572544,,l1_smcBullishScore,0.39796054,0.39796054,independent_candidate,34,l1_chochBullish,9,l1_chochBullish,l1_chochBullish,measured
l1_closeAboveMa60Pct,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.57949,1.067961044854322,0.3440435366918029,-0.401804020127302,-0.017697676680799728,0.8053676500020014,tech_trix_12,0.87317589,0.87317589,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
l1_dealerNet5d,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.542394,0.9663586985555359,0.28759869154607864,-0.20927158948899727,-0.011429904564612464,,tech_ema_12_pos,0.16842564,0.16842564,independent_candidate,35,l1_dealerNet5d,10,l1_dealerNet5d,l1_dealerNet5d,measured
l1_diTrend,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.529452,0.6174369249706447,0.15262365115076904,-0.28865735159885164,-0.027199473141347547,0.9445332826321899,tech_keltner_pos_20,0.8474573,0.8474573,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
l1_displacementPct,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.401171,0.6970229370663152,0.19916545716124046,-0.41802488006106453,-0.028612316377270106,,l1_bestOrderBlockStrength,0.98322094,0.98322094,high_duplicate,6,l1_bestOrderBlockStrength,1,size_log_mktcap,l1_bestOrderBlockStrength,measured
l1_liquiditySweepBullish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.224582,-0.1536342879135669,0.0004600562407381936,-0.15875703931722862,-0.0049869237405415386,,l1_smcBullishScore,0.18378365,0.18378365,independent_candidate,37,l1_liquiditySweepBullish,11,l1_liquiditySweepBullish,l1_liquiditySweepBullish,measured
l1_return20d,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.613668,0.9887146507623726,0.3375485600178736,-0.35376549742919805,-0.022857431844817755,0.8445212744666373,mom_reversal_1m,0.96140612,-0.96140612,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
l1_roe,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.730533,1.1161568721072126,0.2579724372223331,-0.2526233467640566,0.0426630777786274,0.9356022095024616,l1_eps,0.92258585,0.92258585,high_duplicate,12,l1_eps,1,size_log_mktcap,l1_eps,measured
l1_sectorFlowCore,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.301384,0.5652181263630363,0.13771475972224922,-0.3375022281473006,0.0032061329011344878,,l1_sectorRsRatio,0.70014045,0.70014045,related_cluster,42,l1_sectorFlowCore,2,l1_sectorRsRatio,l1_sectorFlowCore,measured
l1_sectorRsMomentum,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,0.302718,0.40874300189475765,0.0993444492738027,-0.2808946203511986,0.006739977157263381,,l1_sectorRsRatio,0.62406677,0.62406677,related_cluster,43,l1_sectorRsMomentum,2,l1_sectorRsRatio,l1_sectorRsMomentum,measured
