strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
tech_wma_10_pos,alphabuilderstw,technical,RESI_20,0.7691709148451584,0.7691709148451584,837073,-0.041090535300176596,-0.02936403825748984
liq_amihud_21d,alphabuilderstw,volatility,VSTD_20,-0.7678303012502202,0.7678303012502202,827570,-0.017234238980589386,-0.009164277254993572
l1_brokerCount,stockvision_l1,l1_signal,sentiment,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,sentiment_3d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,has_sentiment,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,market_risk_score,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,market_risk_level,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,market_return_1d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,market_return_5d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,market_bias_20d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_sox_return,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_gspc_return,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_dxy_return,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_hy_spread,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_hy_spread_chg,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_vix,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,us_sentiment_score,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,advance_ratio,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,bull_alignment_pct,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
