id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
ml106_keltner_position_low,ml_feature_single,keltner_position,price_technical,low,-1,0.8490103270223752,0.2886748437097844,ok,0.074,-0.04172076637110633,0.050272880027458514,2.0590715024779134,-0.13227336012284252,-0.3498261908999801,-0.2786885682705087,-0.4447424675694848,-0.11925800547901147,0.42408376963350786,10.0,10.0,408,,830,10.0,10,10
ml106_us_sox_return_high,ml_feature_single,us_sox_return,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_sox_return_low,ml_feature_single,us_sox_return,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_gspc_return_high,ml_feature_single,us_gspc_return,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_gspc_return_low,ml_feature_single,us_gspc_return,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_dxy_return_high,ml_feature_single,us_dxy_return,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_dxy_return_low,ml_feature_single,us_dxy_return,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_hy_spread_high,ml_feature_single,us_hy_spread,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.076,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_hy_spread_low,ml_feature_single,us_hy_spread,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_hy_spread_chg_high,ml_feature_single,us_hy_spread_chg,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.084,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_hy_spread_chg_low,ml_feature_single,us_hy_spread_chg,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_vix_high,ml_feature_single,us_vix,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.084,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_vix_low,ml_feature_single,us_vix,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_sentiment_score_high,ml_feature_single,us_sentiment_score,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.09,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_us_sentiment_score_low,ml_feature_single,us_sentiment_score,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.092,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_advance_ratio_high,ml_feature_single,advance_ratio,market_regime,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_advance_ratio_low,ml_feature_single,advance_ratio,market_regime,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.068,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
