id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches,selection_note
ml106_IMIN_20_high,ml_feature_single,IMIN_20,price_technical,high,1,0.8490103270223752,0.2776509870935797,ok,0.08,0.10600118711279816,0.16928671244254162,1.4165045829496665,0.39853159632905677,-0.18265483538954708,0.6028733454001812,1.1658357386076141,0.5803042872851927,0.4689119170984456,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_KSFT_low,ml_feature_single,KSFT,price_technical,low,-1,0.8490103270223752,0.28869330586109365,ok,0.079,0.15898708748333057,0.26177016623658333,2.3005687532032306,0.6343014585333311,-0.46773006589387756,0.6016463949597696,1.2216326017739443,0.3399047870305857,0.44072164948453607,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_vwap_bias_5d_high,ml_feature_single,vwap_bias_5d,price_technical,high,1,0.8490103270223752,0.2888164143144384,ok,0.083,0.15668266699945055,0.30084815528438924,3.2268212011320268,0.6235081966550922,-0.3967195181053479,0.5962899789776737,1.4671850826175756,0.3949357429911351,0.4392764857881137,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RSQR_10_low,ml_feature_single,RSQR_10,price_technical,low,-1,0.8490103270223752,0.28881642640537747,ok,0.077,0.10641065479470435,0.13948861667230453,0.7403760077856901,0.4002561110802234,-0.1266014010184564,0.5492318597222078,1.2961666416379842,0.8404508120022512,0.4564102564102564,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_KLOW_high,ml_feature_single,KLOW,price_technical,high,1,0.8490103270223752,0.284277572823792,ok,0.083,0.11508203157544328,0.2405773249009269,2.808930750087558,0.4371268838632063,-0.2991935949723702,0.52083573025954,0.9726158995852155,0.38462783706215314,0.450261780104712,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_vol_ratio_20d_low,ml_feature_single,vol_ratio_20d,other,low,-1,0.8490103270223752,0.2888163499142047,ok,0.083,0.07479976644787434,0.07170185064583166,-0.0693398989472075,0.27144200723401,-0.1327605812792646,0.5170388258047534,0.9841625569425467,0.563376056104954,0.44587628865979384,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_KUP_high,ml_feature_single,KUP,price_technical,high,1,0.8490103270223752,0.2837255896570839,ok,0.068,0.13225381566812677,0.2167818440591734,1.8919703831129262,0.512136888030484,-0.36236029501035705,0.5042933300383275,1.315946575474317,0.3649687004955712,0.4498714652956298,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_ma5_bias_high,ml_feature_single,ma5_bias,price_technical,high,1,0.8490103270223752,0.288815946736158,ok,0.079,0.12352121058849597,0.2703525814929726,3.286491006012453,0.47365739054553746,-0.44934382764651215,0.4925909065270003,1.1795882464361682,0.2748862989226942,0.4315245478036176,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_keltner_position_high,ml_feature_single,keltner_position,price_technical,high,1,0.8490103270223752,0.2886748437097844,ok,0.076,0.11077284943784549,0.2045031296123817,2.0979421555972717,0.41872039876416234,-0.3275652444706746,0.4767437433982697,1.0267366911120388,0.3381600145543421,0.4252577319587629,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_KUP2_high,ml_feature_single,KUP2,price_technical,high,1,0.8490103270223752,0.2837151675419148,ok,0.083,0.07510282180653083,0.15921229664176356,1.8826020002650197,0.2726359318829774,-0.19778641626976323,0.46429285394254055,0.7483286292132921,0.3796975861488935,0.47668393782383417,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
