id,kind,factor_id,source,category,direction_mode,direction,declared_direction,is_declared_direction,coverage,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
strategy95_mom_hl52_low,strategy95_factor_single,mom_hl52,alphabuilderstw,momentum,low,-1,-1.0,1,0.7389965176319897,ok,1.185,-0.12772875493492464,-0.044324938940734956,1.8668074093672025,-0.3655234375403732,-0.41860629509953917,-0.7676027562998937,-1.1064568818199045,-0.3051213161794218,0.4205128205128205,10.0,10.0,408,,830,10.0,10,10
strategy95_mom_ma50_200_ratio_high,strategy95_factor_single,mom_ma50_200_ratio,alphabuilderstw,momentum,high,1,1.0,1,0.7528079093783773,ok,1.084,0.33822672840206036,0.527740294514097,4.241836241859711,1.637825345312629,-0.40857744267535434,1.152921352619967,2.267133026415569,0.827795211197424,0.5025641025641026,10.0,10.0,403,,830,10.0,10,10
strategy95_mom_ma50_200_ratio_low,strategy95_factor_single,mom_ma50_200_ratio,alphabuilderstw,momentum,low,-1,1.0,0,0.7528079093783773,ok,1.153,0.017788135391862303,0.07967796051892728,1.3852649634123995,0.06045725053906725,-0.18866884063783496,0.08255038741270646,0.1653976265867122,0.09427731976584619,0.41494845360824745,10.0,10.0,402,,830,10.0,10,10
strategy95_mom_macd_trend_10_high,strategy95_factor_single,mom_macd_trend_10,alphabuilderstw,momentum,high,1,1.0,1,0.947664411800024,ok,1.101,0.505871526589152,0.5798937504545802,1.6568215053786735,2.9074755587371173,-0.24251694478596542,1.4511224098652704,4.0507241612947125,2.085836388346842,0.5666666666666667,10.0,10.0,403,,830,10.0,10,10
strategy95_mom_macd_trend_10_low,strategy95_factor_single,mom_macd_trend_10,alphabuilderstw,momentum,low,-1,1.0,0,0.947664411800024,ok,1.28,0.21508649608059804,0.33013318727190777,2.5750622196241086,0.9128306336959036,-0.14107150191609275,0.8103527548260797,1.8918138597403364,1.5245549073366063,0.5347043701799485,10.0,10.0,406,,830,10.0,10,10
strategy95_mom_reversal_1m_high,strategy95_factor_single,mom_reversal_1m,alphabuilderstw,momentum,high,1,1.0,1,0.8443911860064844,ok,1.133,0.038710758885595054,0.1739123611793539,3.0261847124343877,0.13478702203960768,-0.2546752471322862,0.18720355310136708,0.3481481308546354,0.15199450820756916,0.45454545454545453,10.0,10.0,407,,830,10.0,10,10
strategy95_mom_reversal_1m_low,strategy95_factor_single,mom_reversal_1m,alphabuilderstw,momentum,low,-1,1.0,0,0.8443911860064844,ok,1.047,0.32617486216654656,0.37727227381226885,1.1437009868513144,1.559562926714983,-0.2520266081982223,1.0945167853227635,2.5245929279648207,1.2941566881824398,0.47680412371134023,10.0,10.0,405,,830,10.0,10,10
strategy95_mom_reversal_6m_high,strategy95_factor_single,mom_reversal_6m,alphabuilderstw,momentum,high,1,1.0,1,0.8327812912780691,ok,1.16,-0.03851454521764952,0.041343373051803134,1.787440439565033,-0.12257006697914907,-0.31017476608985595,-0.16519821020117298,-0.2749835412863933,-0.12416646279299359,0.43717277486910994,10.0,10.0,404,,830,10.0,10,10
strategy95_mom_reversal_6m_low,strategy95_factor_single,mom_reversal_6m,alphabuilderstw,momentum,low,-1,1.0,0,0.8327812912780691,ok,1.175,0.40353876361628194,0.5489201715005981,3.2540368349762865,2.09131613919382,-0.32679083735846615,1.2480471019436454,2.8650100923582054,1.2348155741524076,0.5076923076923077,10.0,10.0,403,,830,10.0,10,10
strategy95_mom_rsi_14_high,strategy95_factor_single,mom_rsi_14,alphabuilderstw,momentum,high,1,1.0,1,0.8330084457431053,ok,1.197,0.25128846984140374,0.34924114594935807,2.1924510209270838,1.109235070791804,-0.26615605575060464,0.8975416619857337,2.5407085493785657,0.9441041200116776,0.4524421593830334,10.0,10.0,410,,830,10.0,10,10
strategy95_mom_rsi_14_low,strategy95_factor_single,mom_rsi_14,alphabuilderstw,momentum,low,-1,1.0,0,0.8330084457431053,ok,1.119,-0.07582309284033129,-0.0038616043287228174,1.6106965651538332,-0.23088547940111182,-0.28148177561469834,-0.6169766350795973,-1.0044441742541705,-0.2693616631418631,0.4190231362467866,10.0,10.0,410,,830,10.0,10,10
strategy95_mom_vol_adj_12m_high,strategy95_factor_single,mom_vol_adj_12m,alphabuilderstw,momentum,high,1,1.0,1,0.8208061481807629,ok,1.105,0.3785676808036287,0.533786857370198,3.474233228255827,1.9119754476440378,-0.3517698750706202,1.1214955568904736,2.3991235121520087,1.0761493411970506,0.5307692307692308,10.0,10.0,403,,830,10.0,10,10
strategy95_mom_vol_adj_12m_low,strategy95_factor_single,mom_vol_adj_12m,alphabuilderstw,momentum,low,-1,1.0,0,0.8208061481807629,ok,1.096,-0.1351166815283984,-0.0731826214137144,1.3862550644246363,-0.3832384323323612,-0.4407190418558331,-0.998442936043824,-1.3303952647541681,-0.30657539825250824,0.39896373056994816,10.0,10.0,402,,830,10.0,10,10
strategy95_size_log_mktcap_high,strategy95_factor_single,size_log_mktcap,alphabuilderstw,size,high,1,-1.0,0,0.8990653644478245,ok,1.083,0.27022174825020673,0.35980324222165905,2.0050808790300576,1.2173718899700638,-0.09128895395720704,1.3503703562114766,3.582949666670399,2.9597463775637896,0.4483695652173913,10.0,10.0,402,,830,10.0,10,10
strategy95_size_log_mktcap_low,strategy95_factor_single,size_log_mktcap,alphabuilderstw,size,low,-1,-1.0,1,0.8990653644478245,ok,1.198,0.45215565615268805,0.5279638287724706,1.6967959637129522,2.4624104568447662,-0.08287270434707628,1.761838651432996,6.949433326697717,5.455368037452775,0.6205128205128205,10.0,10.0,401,,830,10.0,10,10
